product_id,product_name,aisle_id,department_id
90001,ETUDE HOUSE Face Color Shading - 02,1,1
90002,L'Oreal Paris Glow Mon Amour Highlighting Drops - 02 Loving Peach,2,2
90003,The Body Shop All-In-One Face Base - 045,3,1
90004,True Elements Sunflower Raw Seeds,4,3
90005,Nykaa Wonderpuff Cushion Liquid Lipstick - Werk It,5,1
90006,HealthVit Activated Charcoal Powder,6,4
90007,NIVEA Body Lotion Oil in Lotion Rose & Argan Oil - For Dry Skin,7,2
90008,Lotus Herbals Whiteglow Activated Charcoal Brightening Face Wash,8,4
90009,Floret Pack of 2 Full-Coverage Maternity Bras - Multi-Color (30B),9,5
90010,Inner Sense Organic Antimicrobial Soft Nursing Bra Pack of 3 - Multi-Color (32B),9,5
90011,Smashbox Color Correcting Stick - Look Less Tired - Dark,10,1
90012,NIVEA Creme - All Season Multi Purpose Cream,11,6
90013,Vaseline Ice Cool Hydration Lotion,12,7
90014,Lime Crime Velvetines Liquid Matte Lipstick - Red Velvet,13,1
90015,Maybelline New York Alia Loves New York Baby Lips SPF 20 - Manhattan Mauve,14,1
90016,Bobbi Brown Crushed Liquid Lip Color - Big Apple,15,-1
90017,Cadiveu Brasil Cacau Brazilian Thermal Reconstruction,16,8
90018,Street Wear Foundation - Deep,3,1
90019,Versace Eros Pour Femme Eau De Toilette,17,9
90020,MyGlamm Twin Faced Concealer - Toffee Dusky,10,1
90021,L'Occitane Pivoine Flora Hand Cream,18,6
90022,Red Hunt Fairness Face Wash For Men,19,-1
90023,Himalaya Gentle Baby Wipes 12's,20,5
90024,As-It-Is Nutrition Pure Creatine Monohydrate,21,3
90025,Beeone Diamond Facial Kit 312gm,22,7
90026,Garnier Ultra Blends Soy Milk & Almonds Conditioner,23,6
90027,Burberry My Burberry Eau De Toilette,24,11
90028,Biotique Natural Makeup Starstruck Matte Blush - Coral Cache,25,1
90029,O3+ Purifying Sulfur Cooling Facial Mask,26,7
90030,Gucci Guilty Cologne Eau De Toilette For Him,27,9
90031,Jiva Ayurveda Jiva Hair Conditioner,28,4
90032,NIVEA Soft - Light Moisturising Cream,29,7
90033,Provoc Contour Correct Conceal Palette - Profile 1,30,1
90034,Allin Exporters Rosehip Carrier Oil,31,4
90035,Stars Cosmetics Foundation Palette Refills - FS27,32,1
90036,Nykaa Pout Perfect Lip & Cheek Velvet Matte Crayon Lipstick - Brick Me Red 04,25,1
90037,DIOR 5 Couleurs Color Games Collection Limited Edition - 897 Sweet Escape,33,9
90038,HealthVit Mass Gainer Xtra (Chocolate Flavour),34,3
90039,PAC Take Cover Concealer - 05 Caramel Touch,35,1
90040,Kiko Milano Flawless Fusion Bronzer Powder - 05 Biscuit,36,1
90041,Cinthol Shave + Face Wash - Cool Wave,37,-1
90042,M.A.C Eye Shadow X 9 - Amber Times Nine,33,9
90043,Allin Exporters Natural & Undiluted Patchouli Oil,31,4
